Source,Pathway,Overlap,Background,Odds_Ratio,P_Value,Mean_Posterior,Genes,Adjusted_P
Reactome,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",1,654,1.4717125382262997,0.5033250387834165,0.000103555896,NDUFA5,0.5420423494590639
Reactome,Metabolism Of RNA R-HSA-8953854,1,664,1.4495481927710843,0.5087702359152874,0.00010507629,PRPF3,0.5432631332654764
Reactome,Signaling By GPCR R-HSA-372790,1,683,1.4092240117130306,0.5189656262524837,0.00011121887,F2R,0.5494930160320415
Reactome,Cytokine Signaling In Immune System R-HSA-1280215,1,697,1.3809182209469153,0.5263534941674762,0.00015805534,FSCN1,0.5519094596083992
Reactome,Transport Of Small Molecules R-HSA-382551,1,704,1.3671875,0.5300082905763199,0.00017435515,SLC2A12,0.5519094596083992
Reactome,Cellular Responses To Stress R-HSA-2262752,1,719,1.338664812239221,0.5377531042102893,0.00017698147,ANAPC16,0.5553843535286594
Reactome,Cellular Responses To Stimuli R-HSA-8953897,1,733,1.3130968622100956,0.544875869499952,0.00017698147,ANAPC16,0.5581655248536094
Reactome,Developmental Biology R-HSA-1266738,1,1062,0.9063088512241054,0.6858935413913818,0.000101731275,PXMP2,0.6969563404460816
Reactome,Disease R-HSA-1643685,1,1722,0.5589430894308943,0.8560661891727563,0.00017698147,ANAPC16,0.8629147186861383
Reactome,Immune System R-HSA-168256,1,1916,0.502348643006263,0.8867072867092294,0.00015805534,FSCN1,0.8867072867092294
