Feature,MI
EXP_ACOT4 (122970),0.17027345751495915
EXP_CLIC1 (1192),0.1702666126114405
EXP_ZNF827 (152485),0.17026253379801748
EXP_ZNF395 (55893),0.17025959788874268
EXP_NT5E (4907),0.17024494546813962
EXP_LMNA (4000),0.17023992737061278
EXP_NKIRAS1 (28512),0.17023818049181028
EXP_PLXNA2 (5362),0.17023117064740312
EXP_CARM1 (10498),0.17021975770725728
EXP_POLR3D (661),0.17021793600124724
EXP_ASPH (444),0.1702175890751425
EXP_ECT2L (345930),0.17021150196656265
EXP_ALDH1B1 (219),0.17020812816473896
EXP_TPCN1 (53373),0.17020206646835323
EXP_TMEM184A (202915),0.17020117886082176
EXP_ACSL4 (2182),0.17019741537380106
EXP_CEP164 (22897),0.17018290937062286
EXP_ACAP2 (23527),0.1701814062188749
EXP_ESAM (90952),0.17017450409286639
EXP_NOB1 (28987),0.17016491130991085
EXP_ZNF557 (79230),0.17016024548130737
EXP_SPRED2 (200734),0.17015929989004341
EXP_PIP4P2 (55529),0.17014967230572786
EXP_PRRT1 (80863),0.17014815277771866
EXP_VAMP2 (6844),0.17014764490966972
EXP_ADI1 (55256),0.17012885205405492
EXP_PCYT1A (5130),0.17012661805931995
EXP_KIF18B (146909),0.17012027152364695
EXP_CHPT1 (56994),0.17011418563294534
EXP_RPRD2 (23248),0.17011152104492666
EXP_PTCD2 (79810),0.17010520146972663
EXP_BRF1 (2972),0.17008929046156673
EXP_ZNF263 (10127),0.17008727077566466
EXP_CPSF2 (53981),0.17008499003388078
EXP_SLC35A5 (55032),0.1700795388035301
EXP_WNT11 (7481),0.1700736107269103
EXP_LAGE3 (8270),0.1700733053291028
EXP_FAM83A (84985),0.1700678132884299
EXP_NGRN (51335),0.17006776784749356
EXP_MOB4 (25843),0.1700604913582504
EXP_GPRC5D (55507),0.1700578098554697
EXP_LAMTOR1 (55004),0.17005761484839788
EXP_BACC1 (124944),0.17005070470791228
EXP_ZNF587B (100293516),0.1700448939181145
EXP_CDKL3 (51265),0.17004457111242566
EXP_SNRPD2 (6633),0.17003600821624953
EXP_FMOD (2331),0.17003404684392986
EXP_MAPK8IP3 (23162),0.17002697586941906
EXP_IGSF9B (22997),0.1700235007675115
EXP_MAST2 (23139),0.1700194140545559
EXP_RHPN1 (114822),0.1700091967860562
EXP_SBNO1 (55206),0.17000828992477146
EXP_DENND1B (163486),0.17000683469149713
EXP_SLC30A7 (148867),0.17000621217480916
EXP_VPS26C (10311),0.17000601138235538
EXP_SERINC1 (57515),0.17000554809396906
EXP_BDKRB2 (624),0.17000361008674503
EXP_FBP1 (2203),0.17000278279494196
EXP_PRRC1 (133619),0.169972383127865
EXP_RBM38 (55544),0.16995692099911786
EXP_UBALD1 (124402),0.16995183174665218
EXP_TIMP4 (7079),0.1699513095475309
EXP_ACY3 (91703),0.16994863351548162
EXP_SNRPF (6636),0.16994749611229487
EXP_TCOF1 (6949),0.1699357631425631
EXP_SETDB2 (83852),0.16993432776483797
EXP_MST1 (4485),0.16992705486796744
EXP_DCP1A (55802),0.16991782644602882
EXP_BCL7A (605),0.1699094174334821
EXP_SLC39A11 (201266),0.16990504386571548
EXP_GTF3A (2971),0.16989926576743297
EXP_CIZ1 (25792),0.16989729429896983
EXP_CDK2AP1 (8099),0.1698931534068162
EXP_CD53 (963),0.1698925236867046
EXP_KCNMA1 (3778),0.16989203675942033
EXP_PPP2R5B (5526),0.1698870047054566
EXP_PIGV (55650),0.16988662208477923
EXP_TUG1 (55000),0.1698827498097435
EXP_TRA2A (29896),0.1698770414476325
EXP_FMN1 (342184),0.169872575344292
EXP_GDA (9615),0.169870157751717
EXP_ITGB1BP2 (26548),0.1698578116566507
EXP_PIP5K1A (8394),0.16985620361379183
EXP_MVD (4597),0.16985603157123563
EXP_TBCD (6904),0.16984832049254805
EXP_MBD6 (114785),0.16984677892067612
EXP_CHLSN (84310),0.16984638644222727
EXP_ZSWIM4 (65249),0.1698402453275305
EXP_TSPAN14 (81619),0.1698391869017959
EXP_NEK7 (140609),0.16983155343849443
EXP_HIF1A (3091),0.1698259785282481
EXP_MTERF4 (130916),0.16982149636617994
EXP_TRMT10C (54931),0.16981404631302421
EXP_PROX2 (283571),0.16981309277157752
EXP_SLC49A4 (84925),0.16980888405899996
EXP_SIL1 (64374),0.1698056779087178
EXP_MBD5 (55777),0.16980440675334751
EXP_FNDC11 (79025),0.16980013529904792
EXP_FRAT2 (23401),0.16979909691448647
EXP_HES1 (3280),0.1697979509779799
EXP_CALM1 (801),0.1697913067136767
EXP_PLEKHH1 (57475),0.16978958026882918
EXP_YIF1A (10897),0.16978453653999548
EXP_TPGS1 (91978),0.16977024472634472
EXP_GPR3 (2827),0.16976990828099936
EXP_MLLT1 (4298),0.16976835321109895
