Gene,GeneID
MPP4,1537
STRADB,1538
BZW1,1539
PGR,1540
C1QTNF3,1541
ME2,1542
C5orf22,1543
CCNT2,1544
FAM135A,1545
COL19A1,1546
EPB41L3,1547
COBLL1,1548
DLG3,1549
KCNK2,1550
SERTAD4,1551
TRAF5,1552
MRPL22,1553
GEMIN5,1554
OPRK1,1555
NFE2L1,1556
SEMA5B,1557
GSK3B,1558
ITGB5,1559
ERC1,1560
XPO1,1561
RNF13,1562
TRPM3,1563
PALB2,1564
DOP1A,1565
LYRM2,1566
BCKDHB,1567
KAT6A,1568
TUT7,1569
ULK2,1570
GRHL2,1571
TNPO1,1572
PLOD1,1573
P2RX5,1574
ITGAE,1575
DIS3,1576
PIBF1,1577
TDRD3,1578
NUFIP1,1579
PDS5B,1580
OXCT1,1581
RRAGB,1582
EPYC,1583
CYLD,1584
SLC27A5,1585
ZNF324,1586
ZNF671,1587
ZNF416,1588
ZNF586,1589
ZNF446,1590
ZNF264,1591
RPS5,1592
FAT1,1593
YTHDC1,1594
CHMP2B,1595
SMAP2,1596
PPIE,1597
ZMPSTE24,1598
STARD7,1599
NOA1,1600
REST,1601
HAL,1602
SSH1,1603
GSTP1,1604
APLP2,1605
FAM234B,1606
SLCO1A2,1607
WBP11,1608
EIF3I,1609
NKAIN1,1610
COL16A1,1611
TXLNA,1612
APOB,1613
NCOA1,1614
AGBL5,1615
EFR3B,1616
KIF3C,1617
RAB10,1618
GCKR,1619
HADHA,1620
MAPRE3,1621
CAD,1622
CD59,1623
CD82,1624
BCORL1,1625
ATRX,1626
AK6,1627
FCN1,1628
MYNN,1629
MECOM,1630
SCAMP1,1631
PREP,1632
HACE1,1633
SEH1L,1634
WDR47,1635
WDFY1,1636
OVGP1,1637
SLC25A24,1638
MAP3K4,1639
PILRA,1640
IGSF9,1641
ABCB1,1642
ZNF213,1643
AKR1B1,1644
CPNE3,1645
RRN3,1646
CTTN,1647
WNT11,1648
MTIF2,1649
DDHD2,1650
TTC39A,1651
EPS15,1652
ORC1,1653
MGST2,1654
CHERP,1655
ATG16L1,1656
USP40,1657
POMGNT1,1658
RAD54L,1659
MAST2,1660
DNAJA1,1661
B4GALT1,1662
CHMP5,1663
NFX1,1664
AQP6,1665
DIMT1,1666
IPO11,1667
FOLH1,1668
EIF2AK1,1669
NME8,1670
EPDR1,1671
SNX10,1672
SEPHS1,1673
MRPL28,1674
HBQ1,1675
ITPKC,1676
CEACAM6,1677
FAT2,1678
RBM22,1679
TMED2,1680
ERO1B,1681
ZFAND6,1682
HSD17B2,1683
TXLNG,1684
PPEF1,1685
LAT2,1686
HUWE1,1687
ZW10,1688
ALG9,1689
