Pathway,Source,PathwayID
Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782,Reactome,165
Binding And Entry Of HIV Virion R-HSA-173107,Reactome,166
Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364,Reactome,167
Biological Oxidations R-HSA-211859,Reactome,168
Biosynthesis Of DHA-derived SPMs R-HSA-9018677,Reactome,169
Biosynthesis Of E-series 18(S)-resolvins R-HSA-9018896,Reactome,170
Biosynthesis Of EPA-derived SPMs R-HSA-9018679,Reactome,171
Biosynthesis Of Maresin-Like SPMs R-HSA-9027307,Reactome,172
Biosynthesis Of Maresins R-HSA-9018682,Reactome,173
Biosynthesis Of Specialized Proresolving Mediators (SPMs) R-HSA-9018678,Reactome,174
Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193,Reactome,175
Biotin Transport And Metabolism R-HSA-196780,Reactome,176
Blood Group Systems Biosynthesis R-HSA-9033658,Reactome,177
Branched-chain Amino Acid Catabolism R-HSA-70895,Reactome,178
Budding And Maturation Of HIV Virion R-HSA-162588,Reactome,179
Butyrate Response Factor 1 Binds And Destabilizes mRNA R-HSA-450385,Reactome,180
Butyrophilin (BTN) Family Interactions R-HSA-8851680,Reactome,181
C-type Lectin Receptors (CLRs) R-HSA-5621481,Reactome,182
CASP8 Activity Is Inhibited R-HSA-5218900,Reactome,183
CD163 Mediating An Anti-Inflammatory Response R-HSA-9662834,Reactome,184
CD209 (DC-SIGN) Signaling R-HSA-5621575,Reactome,185
CD22 Mediated BCR Regulation R-HSA-5690714,Reactome,186
CD28 Co-Stimulation R-HSA-389356,Reactome,187
CD28 Dependent PI3K/Akt Signaling R-HSA-389357,Reactome,188
CD28 Dependent Vav1 Pathway R-HSA-389359,Reactome,189
CDC42 GTPase Cycle R-HSA-9013148,Reactome,190
CDC6 Association With ORC:origin Complex R-HSA-68689,Reactome,191
CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,Reactome,192
CHL1 Interactions R-HSA-447041,Reactome,193
CLEC7A (Dectin-1) Induces NFAT Activation R-HSA-5607763,Reactome,194
CLEC7A (Dectin-1) Signaling R-HSA-5607764,Reactome,195
CLEC7A/inflammasome Pathway R-HSA-5660668,Reactome,196
COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434,Reactome,197
COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436,Reactome,198
COPI-mediated Anterograde Transport R-HSA-6807878,Reactome,199
COPII-mediated Vesicle Transport R-HSA-204005,Reactome,200
CREB Phosphorylation R-HSA-199920,Reactome,201
CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling R-HSA-442742,Reactome,202
CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase R-HSA-442720,Reactome,203
