Pathway,Source,PathwayID
RHOJ GTPase Cycle R-HSA-9013409,Reactome,1218
RHOQ GTPase Cycle R-HSA-9013406,Reactome,1219
RHOT1 GTPase Cycle R-HSA-9013425,Reactome,1220
RHOT2 GTPase Cycle R-HSA-9013419,Reactome,1221
RHOU GTPase Cycle R-HSA-9013420,Reactome,1222
RHOV GTPase Cycle R-HSA-9013424,Reactome,1223
RIP-mediated NFkB Activation Via ZBP1 R-HSA-1810476,Reactome,1224
RIPK1-mediated Regulated Necrosis R-HSA-5213460,Reactome,1225
RMTs Methylate Histone Arginines R-HSA-3214858,Reactome,1226
RNA Pol II CTD Phosphorylation And Interaction With CE R-HSA-77075,Reactome,1227
RNA Polymerase I Promoter Clearance R-HSA-73854,Reactome,1228
RNA Polymerase I Promoter Escape R-HSA-73772,Reactome,1229
RNA Polymerase I Promoter Opening R-HSA-73728,Reactome,1230
RNA Polymerase I Transcription Initiation R-HSA-73762,Reactome,1231
RNA Polymerase I Transcription R-HSA-73864,Reactome,1232
RNA Polymerase I Transcription Termination R-HSA-73863,Reactome,1233
RNA Polymerase II Pre-transcription Events R-HSA-674695,Reactome,1234
RNA Polymerase II Transcription R-HSA-73857,Reactome,1235
RNA Polymerase II Transcription Termination R-HSA-73856,Reactome,1236
RNA Polymerase III Abortive And Retractive Initiation R-HSA-749476,Reactome,1237
RNA Polymerase III Chain Elongation R-HSA-73780,Reactome,1238
RNA Polymerase III Transcription Initiation From Type 1 Promoter R-HSA-76061,Reactome,1239
RNA Polymerase III Transcription Initiation From Type 2 Promoter R-HSA-76066,Reactome,1240
RNA Polymerase III Transcription Initiation From Type 3 Promoter R-HSA-76071,Reactome,1241
RNA Polymerase III Transcription Initiation R-HSA-76046,Reactome,1242
RNA Polymerase III Transcription Termination R-HSA-73980,Reactome,1243
RNA Polymerase II Transcribes snRNA Genes R-HSA-6807505,Reactome,1244
RND1 GTPase Cycle R-HSA-9696273,Reactome,1245
RND2 GTPase Cycle R-HSA-9696270,Reactome,1246
RND3 GTPase Cycle R-HSA-9696264,Reactome,1247
ROBO Receptors Bind AKAP5 R-HSA-9010642,Reactome,1248
RORA Activates Gene Expression R-HSA-1368082,Reactome,1249
ROS And RNS Production In Phagocytes R-HSA-1222556,Reactome,1250
RSK Activation R-HSA-444257,Reactome,1251
RUNX1 And FOXP3 Control Development Of Regulatory T Lymphocytes (Tregs) R-HSA-8877330,Reactome,1252
RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,Reactome,1253
RUNX1 Regulates Estrogen Receptor Mediated Transcription R-HSA-8931987,Reactome,1254
RUNX1 Regulates Expression Of Components Of Tight Junctions R-HSA-8935964,Reactome,1255
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Reactome,1256
RUNX1 Regulates Transcription Of Genes Involved In BCR Signaling R-HSA-8939245,Reactome,1257
RUNX1 Regulates Transcription Of Genes Involved In WNT Signaling R-HSA-8939256,Reactome,1258
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,Reactome,1259
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of Keratinocytes R-HSA-8939242,Reactome,1260
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of Myeloid Cells R-HSA-8939246,Reactome,1261
RUNX1 Regulates Transcription Of Genes Involved In Interleukin Signaling R-HSA-8939247,Reactome,1262
RUNX2 Regulates Bone Development R-HSA-8941326,Reactome,1263
RUNX2 Regulates Chondrocyte Maturation R-HSA-8941284,Reactome,1264
RUNX2 Regulates Genes Involved In Cell Migration R-HSA-8941332,Reactome,1265
RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973,Reactome,1266
RUNX3 Regulates Immune Response And Cell Migration R-HSA-8949275,Reactome,1267
RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158,Reactome,1268
RUNX3 Regulates CDKN1A Transcription R-HSA-8941855,Reactome,1269
RUNX3 Regulates NOTCH Signaling R-HSA-8941856,Reactome,1270
RUNX3 Regulates WNT Signaling R-HSA-8951430,Reactome,1271
RUNX3 Regulates YAP1-mediated Transcription R-HSA-8951671,Reactome,1272
RUNX3 Regulates p14-ARF R-HSA-8951936,Reactome,1273
Rab Regulation Of Trafficking R-HSA-9007101,Reactome,1274
Rap1 Signaling R-HSA-392517,Reactome,1275
Ras Activation Upon Ca2+ Influx Thru NMDA Receptor R-HSA-442982,Reactome,1276
Reactions Specific To Complex N-glycan Synthesis Pathway R-HSA-975578,Reactome,1277
Receptor Mediated Mitophagy R-HSA-8934903,Reactome,1278
Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844,Reactome,1279
Recognition Of DNA Damage By PCNA-containing Replication Complex R-HSA-110314,Reactome,1280
Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,Reactome,1281
Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,Reactome,1282
Recycling Of Bile Acids And Salts R-HSA-159418,Reactome,1283
Recycling Of eIF2:GDP R-HSA-72731,Reactome,1284
Recycling Pathway Of L1 R-HSA-437239,Reactome,1285
Reduction Of Cytosolic Ca++ Levels R-HSA-418359,Reactome,1286
Reelin Signaling Pathway R-HSA-8866376,Reactome,1287
Regulated Necrosis R-HSA-5218859,Reactome,1288
Regulated Proteolysis Of p75NTR R-HSA-193692,Reactome,1289
Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,Reactome,1290
Regulation Of Apoptosis R-HSA-169911,Reactome,1291
Regulation Of BACH1 Activity R-HSA-9708530,Reactome,1292
Regulation Of Complement Cascade R-HSA-977606,Reactome,1293
Regulation Of FOXO Transcriptional Activity By Acetylation R-HSA-9617629,Reactome,1294
Regulation Of FZD By Ubiquitination R-HSA-4641263,Reactome,1295
Regulation Of HMOX1 Expression And Activity R-HSA-9707587,Reactome,1296
Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453,Reactome,1297
Regulation Of IFNA/IFNB Signaling R-HSA-912694,Reactome,1298
Regulation Of IFNG Signaling R-HSA-877312,Reactome,1299
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,Reactome,1300
Regulation Of KIT Signaling R-HSA-1433559,Reactome,1301
Regulation Of MECP2 Expression And Activity R-HSA-9022692,Reactome,1302
Regulation Of NF-kappa B Signaling R-HSA-9758274,Reactome,1303
Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,Reactome,1304
Regulation Of PTEN Gene Transcription R-HSA-8943724,Reactome,1305
Regulation Of PTEN Localization R-HSA-8948747,Reactome,1306
Regulation Of PTEN mRNA Translation R-HSA-8943723,Reactome,1307
Regulation Of PTEN Stability And Activity R-HSA-8948751,Reactome,1308
Regulation Of RAS By GAPs R-HSA-5658442,Reactome,1309
Regulation Of RUNX1 Expression And Activity R-HSA-8934593,Reactome,1310
Regulation Of RUNX2 Expression And Activity R-HSA-8939902,Reactome,1311
Regulation Of RUNX3 Expression And Activity R-HSA-8941858,Reactome,1312
Regulation Of TLR By Endogenous Ligand R-HSA-5686938,Reactome,1313
Regulation Of TNFR1 Signaling R-HSA-5357905,Reactome,1314
Regulation Of TP53 Activity R-HSA-5633007,Reactome,1315
Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758,Reactome,1316
Regulation Of TP53 Activity Thru Association With Co-factors R-HSA-6804759,Reactome,1317
Regulation Of TP53 Activity Thru Methylation R-HSA-6804760,Reactome,1318
Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,Reactome,1319
Regulation Of TP53 Degradation R-HSA-6804757,Reactome,1320
Regulation Of TP53 Expression And Degradation R-HSA-6806003,Reactome,1321
Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482,Reactome,1322
Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733,Reactome,1323
Regulation Of Beta-Cell Development R-HSA-186712,Reactome,1324
Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829,Reactome,1325
Regulation Of Commissural Axon Pathfinding By SLIT And ROBO R-HSA-428542,Reactome,1326
Regulation Of Cytoskeletal Remodeling And Cell Spreading By IPP Complex Components R-HSA-446388,Reactome,1327
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,Reactome,1328
Regulation Of Gene Expression By Hypoxia-inducible Factor R-HSA-1234158,Reactome,1329
Regulation Of Gene Expression In Beta Cells R-HSA-210745,Reactome,1330
Regulation Of Gene Expression In Early Pancreatic Precursor Cells R-HSA-210747,Reactome,1331
Regulation Of Gene Expression In Endocrine-Committed (NEUROG3+) Progenitor Cells R-HSA-210746,Reactome,1332
Regulation Of Gene Expression In Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells R-HSA-210744,Reactome,1333
"Regulation Of Glycolysis By Fructose 2,6-Bisphosphate Metabolism R-HSA-9634600",Reactome,1334
Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975,Reactome,1335
Regulation Of Insulin Secretion R-HSA-422356,Reactome,1336
Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206,Reactome,1337
Regulation Of Localization Of FOXO Transcription Factors R-HSA-9614399,Reactome,1338
Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531,Reactome,1339
Regulation Of Necroptotic Cell Death R-HSA-5675482,Reactome,1340
Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562,Reactome,1341
Regulation Of Pyruvate Dehydrogenase (PDH) Complex R-HSA-204174,Reactome,1342
Regulation Of Signaling By CBL R-HSA-912631,Reactome,1343
Regulation Of Signaling By NODAL R-HSA-1433617,Reactome,1344
Relaxin Receptors R-HSA-444821,Reactome,1345
Release Of Hh-Np From Secreting Cell R-HSA-5362798,Reactome,1346
Release Of Apoptotic Factors From Mitochondria R-HSA-111457,Reactome,1347
Removal Of Aminoterminal Propeptides From Gamma-Carboxylated Proteins R-HSA-159782,Reactome,1348
Removal Of Flap Intermediate R-HSA-69166,Reactome,1349
Removal Of Flap Intermediate From C-strand R-HSA-174437,Reactome,1350
Repression Of WNT Target Genes R-HSA-4641265,Reactome,1351
Reproduction R-HSA-1474165,Reactome,1352
Resolution Of AP Sites Via Multiple-Nucleotide Patch Replacement Pathway R-HSA-110373,Reactome,1353
Resolution Of Abasic Sites (AP Sites) R-HSA-73933,Reactome,1354
Resolution Of D-Loop Structures R-HSA-5693537,Reactome,1355
Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568,Reactome,1356
Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554,Reactome,1357
Resolution Of Sister Chromatid Cohesion R-HSA-2500257,Reactome,1358
Respiratory Electron Transport R-HSA-611105,Reactome,1359
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",Reactome,1360
Response Of EIF2AK1 (HRI) To Heme Deficiency R-HSA-9648895,Reactome,1361
Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,Reactome,1362
Response Of Mtb To Phagocytosis R-HSA-9637690,Reactome,1363
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,Reactome,1364
Response To Metal Ions R-HSA-5660526,Reactome,1365
Retinoid Metabolism And Transport R-HSA-975634,Reactome,1366
Retrograde Neurotrophin Signaling R-HSA-177504,Reactome,1367
Retrograde Transport At Trans-Golgi-Network R-HSA-6811440,Reactome,1368
Rev-mediated Nuclear Export Of HIV RNA R-HSA-165054,Reactome,1369
Reversal Of Alkylation Damage By DNA Dioxygenases R-HSA-73943,Reactome,1370
Reversible Hydration Of Carbon Dioxide R-HSA-1475029,Reactome,1371
Ribosomal Scanning And Start Codon Recognition R-HSA-72702,Reactome,1372
Role Of ABL In ROBO-SLIT Signaling R-HSA-428890,Reactome,1373
Role Of LAT2/NTAL/LAB On Calcium Mobilization R-HSA-2730905,Reactome,1374
Role Of Phospholipids In Phagocytosis R-HSA-2029485,Reactome,1375
Role Of Second Messengers In Netrin-1 Signaling R-HSA-418890,Reactome,1376
S Phase R-HSA-69242,Reactome,1377
SARS-CoV Infections R-HSA-9679506,Reactome,1378
SARS-CoV-1 Genome Replication And Transcription R-HSA-9679514,Reactome,1379
SARS-CoV-1 Infection R-HSA-9678108,Reactome,1380
SARS-CoV-2 Genome Replication And Transcription R-HSA-9694682,Reactome,1381
SARS-CoV-2 Infection R-HSA-9694516,Reactome,1382
SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671,Reactome,1383
SARS-CoV-2 Modulates Autophagy R-HSA-9754560,Reactome,1384
SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678,Reactome,1385
SARS-CoV-2 Targets PDZ Proteins In Cell-Cell Junction R-HSA-9705677,Reactome,1386
SARS-CoV-2 Targets Host Intracellular Signaling And Regulatory Pathways R-HSA-9755779,Reactome,1387
SARS-CoV-2-host Interactions R-HSA-9705683,Reactome,1388
SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,Reactome,1389
SCF-beta-TrCP Mediated Degradation Of Emi1 R-HSA-174113,Reactome,1390
SEMA3A-Plexin Repulsion Signaling By Inhibiting Integrin Adhesion R-HSA-399955,Reactome,1391
SHC-mediated cascade:FGFR1 R-HSA-5654688,Reactome,1392
SHC-mediated cascade:FGFR2 R-HSA-5654699,Reactome,1393
SHC-mediated cascade:FGFR3 R-HSA-5654704,Reactome,1394
SHC-mediated cascade:FGFR4 R-HSA-5654719,Reactome,1395
SHC-related Events Triggered By IGF1R R-HSA-2428933,Reactome,1396
SHC1 Events In EGFR Signaling R-HSA-180336,Reactome,1397
SHC1 Events In ERBB2 Signaling R-HSA-1250196,Reactome,1398
SHC1 Events In ERBB4 Signaling R-HSA-1250347,Reactome,1399
SIRT1 Negatively Regulates rRNA Expression R-HSA-427359,Reactome,1400
SLBP Dependent Processing Of Replication-Dependent Histone Pre-mRNAs R-HSA-77588,Reactome,1401
SLBP Independent Processing Of Histone Pre-mRNAs R-HSA-111367,Reactome,1402
SLC Transporter Disorders R-HSA-5619102,Reactome,1403
SLC-mediated Transmembrane Transport R-HSA-425407,Reactome,1404
SMAC (DIABLO) Binds To IAPs R-HSA-111463,Reactome,1405
"SMAC, XIAP-regulated Apoptotic Response R-HSA-111469",Reactome,1406
SMAD2/3 Phosphorylation Motif Mutants In Cancer R-HSA-3304356,Reactome,1407
SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796,Reactome,1408
SOS-mediated Signaling R-HSA-112412,Reactome,1409
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,Reactome,1410
STAT3 Nuclear Events Downstream Of ALK Signaling R-HSA-9701898,Reactome,1411
STAT5 Activation R-HSA-9645135,Reactome,1412
STAT5 Activation Downstream Of FLT3 ITD Mutants R-HSA-9702518,Reactome,1413
STING Mediated Induction Of Host Immune Responses R-HSA-1834941,Reactome,1414
SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,Reactome,1415
SUMO Is Proteolytically Processed R-HSA-3065679,Reactome,1416
"SUMO Is Transferred From E1 To E2 (UBE2I, UBC9) R-HSA-3065678",Reactome,1417
SUMOylation R-HSA-2990846,Reactome,1418
SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214,Reactome,1419
SUMOylation Of DNA Methylation Proteins R-HSA-4655427,Reactome,1420
SUMOylation Of DNA Replication Proteins R-HSA-4615885,Reactome,1421
SUMOylation Of RNA Binding Proteins R-HSA-4570464,Reactome,1422
SUMOylation Of SUMOylation Proteins R-HSA-4085377,Reactome,1423
SUMOylation Of Chromatin Organization Proteins R-HSA-4551638,Reactome,1424
SUMOylation Of Immune Response Proteins R-HSA-4755510,Reactome,1425
SUMOylation Of Intracellular Receptors R-HSA-4090294,Reactome,1426
SUMOylation Of Transcription Cofactors R-HSA-3899300,Reactome,1427
SUMOylation Of Transcription Factors R-HSA-3232118,Reactome,1428
SUMOylation Of Ubiquitinylation Proteins R-HSA-3232142,Reactome,1429
Scavenging By Class A Receptors R-HSA-3000480,Reactome,1430
Scavenging By Class B Receptors R-HSA-3000471,Reactome,1431
Scavenging By Class F Receptors R-HSA-3000484,Reactome,1432
Scavenging Of Heme From Plasma R-HSA-2168880,Reactome,1433
Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,Reactome,1434
Selective Autophagy R-HSA-9663891,Reactome,1435
Selenoamino Acid Metabolism R-HSA-2408522,Reactome,1436
Selenocysteine Synthesis R-HSA-2408557,Reactome,1437
Sema3A PAK Dependent Axon Repulsion R-HSA-399954,Reactome,1438
Sema4D In Semaphorin Signaling R-HSA-400685,Reactome,1439
Sema4D Induced Cell Migration And Growth-Cone Collapse R-HSA-416572,Reactome,1440
Sema4D Mediated Inhibition Of Cell Attachment And Migration R-HSA-416550,Reactome,1441
Semaphorin Interactions R-HSA-373755,Reactome,1442
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,Reactome,1443
Sensing Of DNA Double Strand Breaks R-HSA-5693548,Reactome,1444
Sensory Perception R-HSA-9709957,Reactome,1445
Sensory Perception Of Salty Taste R-HSA-9730628,Reactome,1446
"Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207",Reactome,1447
Sensory Perception Of Taste R-HSA-9717189,Reactome,1448
Sensory Processing Of Sound R-HSA-9659379,Reactome,1449
Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360,Reactome,1450
Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361,Reactome,1451
Separation Of Sister Chromatids R-HSA-2467813,Reactome,1452
Serine Biosynthesis R-HSA-977347,Reactome,1453
Serotonin Neurotransmitter Release Cycle R-HSA-181429,Reactome,1454
Serotonin And Melatonin Biosynthesis R-HSA-209931,Reactome,1455
Serotonin Receptors R-HSA-390666,Reactome,1456
Sialic Acid Metabolism R-HSA-4085001,Reactome,1457
Signal Amplification R-HSA-392518,Reactome,1458
Signal Attenuation R-HSA-74749,Reactome,1459
Signal Regulatory Protein Family Interactions R-HSA-391160,Reactome,1460
Signal Transduction By L1 R-HSA-445144,Reactome,1461
Signaling By ALK R-HSA-201556,Reactome,1462
Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370,Reactome,1463
Signaling By Activin R-HSA-1502540,Reactome,1464
Signaling By BMP R-HSA-201451,Reactome,1465
Signaling By BRAF And RAF1 Fusions R-HSA-6802952,Reactome,1466
Signaling By CSF3 (G-CSF) R-HSA-9674555,Reactome,1467
Signaling By EGFR R-HSA-177929,Reactome,1468
Signaling By EGFR In Cancer R-HSA-1643713,Reactome,1469
Signaling By ERBB2 ECD Mutants R-HSA-9665348,Reactome,1470
Signaling By ERBB2 KD Mutants R-HSA-9664565,Reactome,1471
Signaling By ERBB2 R-HSA-1227986,Reactome,1472
Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686,Reactome,1473
Signaling By ERBB2 In Cancer R-HSA-1227990,Reactome,1474
Signaling By ERBB4 R-HSA-1236394,Reactome,1475
Signaling By Erythropoietin R-HSA-9006335,Reactome,1476
Signaling By FGFR R-HSA-190236,Reactome,1477
Signaling By FGFR In Disease R-HSA-1226099,Reactome,1478
Signaling By FGFR1 R-HSA-5654736,Reactome,1479
Signaling By FGFR1 In Disease R-HSA-5655302,Reactome,1480
Signaling By FGFR2 IIIa TM R-HSA-8851708,Reactome,1481
Signaling By FGFR2 R-HSA-5654738,Reactome,1482
Signaling By FGFR2 In Disease R-HSA-5655253,Reactome,1483
Signaling By FGFR3 R-HSA-5654741,Reactome,1484
Signaling By FGFR3 In Disease R-HSA-5655332,Reactome,1485
Signaling By FGFR4 R-HSA-5654743,Reactome,1486
Signaling By FGFR4 In Disease R-HSA-5655291,Reactome,1487
Signaling By FLT3 ITD And TKD Mutants R-HSA-9703648,Reactome,1488
Signaling By FLT3 Fusion Proteins R-HSA-9703465,Reactome,1489
Signaling By GPCR R-HSA-372790,Reactome,1490
Signaling By Hedgehog R-HSA-5358351,Reactome,1491
Signaling By Hippo R-HSA-2028269,Reactome,1492
Signaling By Insulin Receptor R-HSA-74752,Reactome,1493
Signaling By Interleukins R-HSA-449147,Reactome,1494
Signaling By KIT In Disease R-HSA-9669938,Reactome,1495
Signaling By LRP5 Mutants R-HSA-5339717,Reactome,1496
Signaling By Leptin R-HSA-2586552,Reactome,1497
Signaling By MAPK Mutants R-HSA-9652817,Reactome,1498
Signaling By MET R-HSA-6806834,Reactome,1499
Signaling By MST1 R-HSA-8852405,Reactome,1500
Signaling By NODAL R-HSA-1181150,Reactome,1501
Signaling By NOTCH R-HSA-157118,Reactome,1502
Signaling By NOTCH1 R-HSA-1980143,Reactome,1503
Signaling By NOTCH2 R-HSA-1980145,Reactome,1504
Signaling By NOTCH3 R-HSA-9012852,Reactome,1505
Signaling By NOTCH4 R-HSA-9013694,Reactome,1506
Signaling By NTRK1 (TRKA) R-HSA-187037,Reactome,1507
Signaling By NTRK2 (TRKB) R-HSA-9006115,Reactome,1508
Signaling By NTRK3 (TRKC) R-HSA-9034015,Reactome,1509
Signaling By NTRKs R-HSA-166520,Reactome,1510
Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,Reactome,1511
Signaling By Nuclear Receptors R-HSA-9006931,Reactome,1512
Signaling By PDGF R-HSA-186797,Reactome,1513
Signaling By PDGFR In Disease R-HSA-9671555,Reactome,1514
Signaling By PDGFRA Extracellular Domain Mutants R-HSA-9673770,Reactome,1515
Signaling By RAF1 Mutants R-HSA-9656223,Reactome,1516
Signaling By RNF43 Mutants R-HSA-5340588,Reactome,1517
Signaling By ROBO Receptors R-HSA-376176,Reactome,1518
Signaling By Receptor Tyrosine Kinases R-HSA-9006934,Reactome,1519
Signaling By Retinoic Acid R-HSA-5362517,Reactome,1520
Signaling By Rho GTPases R-HSA-194315,Reactome,1521
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",Reactome,1522
Signaling By SCF-KIT R-HSA-1433557,Reactome,1523
Signaling By TGF-beta Receptor Complex R-HSA-170834,Reactome,1524
Signaling By TGF-beta Receptor Complex In Cancer R-HSA-3304351,Reactome,1525
Signaling By TGFB Family Members R-HSA-9006936,Reactome,1526
Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192,Reactome,1527
Signaling By VEGF R-HSA-194138,Reactome,1528
Signaling By WNT R-HSA-195721,Reactome,1529
Signaling By WNT In Cancer R-HSA-4791275,Reactome,1530
Signaling By Activated Point Mutants Of FGFR1 R-HSA-1839122,Reactome,1531
Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117,Reactome,1532
Signaling By High-Kinase Activity BRAF Mutants R-HSA-6802948,Reactome,1533
Signaling By Membrane-Tethered Fusions Of PDGFRA Or PDGFRB R-HSA-9673768,Reactome,1534
Signaling By B Cell Receptor (BCR) R-HSA-983705,Reactome,1535
Signaling To ERKs R-HSA-187687,Reactome,1536
Signaling To RAS R-HSA-167044,Reactome,1537
Signaling To P38 Via RIT And RIN R-HSA-187706,Reactome,1538
Small Interfering RNA (siRNA) Biogenesis R-HSA-426486,Reactome,1539
Smooth Muscle Contraction R-HSA-445355,Reactome,1540
Sodium-coupled Phosphate Cotransporters R-HSA-427652,Reactome,1541
"Sodium-coupled Sulphate, Di- And Tri-Carboxylate Transporters R-HSA-433137",Reactome,1542
Sodium/Calcium Exchangers R-HSA-425561,Reactome,1543
Sodium/Proton Exchangers R-HSA-425986,Reactome,1544
Sperm Motility And Taxes R-HSA-1300642,Reactome,1545
Sphingolipid De Novo Biosynthesis R-HSA-1660661,Reactome,1546
Sphingolipid Metabolism R-HSA-428157,Reactome,1547
Spry Regulation Of FGF Signaling R-HSA-1295596,Reactome,1548
Stabilization Of P53 R-HSA-69541,Reactome,1549
Stimuli-sensing Channels R-HSA-2672351,Reactome,1550
Striated Muscle Contraction R-HSA-390522,Reactome,1551
Sulfide Oxidation To Sulfate R-HSA-1614517,Reactome,1552
Sulfur Amino Acid Metabolism R-HSA-1614635,Reactome,1553
Suppression Of Apoptosis R-HSA-9635465,Reactome,1554
Suppression Of Phagosomal Maturation R-HSA-9637687,Reactome,1555
Surfactant Metabolism R-HSA-5683826,Reactome,1556
Switching Of Origins To A Post-Replicative State R-HSA-69052,Reactome,1557
Synaptic Adhesion-Like Molecules R-HSA-8849932,Reactome,1558
Syndecan Interactions R-HSA-3000170,Reactome,1559
Synthesis Of (16-20)-Hydroxyeicosatetraenoic Acids (HETE) R-HSA-2142816,Reactome,1560
Synthesis Of 12-Eicosatetraenoic Acid Derivatives R-HSA-2142712,Reactome,1561
Synthesis Of 15-Eicosatetraenoic Acid Derivatives R-HSA-2142770,Reactome,1562
Synthesis Of 5-Eicosatetraenoic Acids R-HSA-2142688,Reactome,1563
Synthesis Of DNA R-HSA-69239,Reactome,1564
Synthesis Of Dolichyl-phosphate R-HSA-446199,Reactome,1565
Synthesis Of GDP-mannose R-HSA-446205,Reactome,1566
"Synthesis Of IP2, IP, And Ins In Cytosol R-HSA-1855183",Reactome,1567
Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204,Reactome,1568
Synthesis Of Ketone Bodies R-HSA-77111,Reactome,1569
Synthesis Of Leukotrienes (LT) And Eoxins (EX) R-HSA-2142691,Reactome,1570
Synthesis Of Lipoxins (LX) R-HSA-2142700,Reactome,1571
Synthesis Of PA R-HSA-1483166,Reactome,1572
Synthesis Of PC R-HSA-1483191,Reactome,1573
Synthesis Of PE R-HSA-1483213,Reactome,1574
Synthesis Of PG R-HSA-1483148,Reactome,1575
Synthesis Of PI R-HSA-1483226,Reactome,1576
Synthesis Of PIPs At ER Membrane R-HSA-1483248,Reactome,1577
Synthesis Of PIPs At Golgi Membrane R-HSA-1660514,Reactome,1578
Synthesis Of PIPs At Early Endosome Membrane R-HSA-1660516,Reactome,1579
Synthesis Of PIPs At Late Endosome Membrane R-HSA-1660517,Reactome,1580
Synthesis Of PIPs At Plasma Membrane R-HSA-1660499,Reactome,1581
Synthesis Of Prostaglandins (PG) And Thromboxanes (TX) R-HSA-2162123,Reactome,1582
Synthesis Of UDP-N-acetyl-glucosamine R-HSA-446210,Reactome,1583
Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652,Reactome,1584
Synthesis Of Bile Acids And Bile Salts R-HSA-192105,Reactome,1585
Synthesis Of Bile Acids And Bile Salts Via 24-Hydroxycholesterol R-HSA-193775,Reactome,1586
Synthesis Of Bile Acids And Bile Salts Via 27-Hydroxycholesterol R-HSA-193807,Reactome,1587
Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368,Reactome,1588
Synthesis Of diphthamide-EEF2 R-HSA-5358493,Reactome,1589
Synthesis Of Epoxy (EET) And Dihydroxyeicosatrienoic Acids (DHET) R-HSA-2142670,Reactome,1590
Synthesis Of Glycosylphosphatidylinositol (GPI) R-HSA-162710,Reactome,1591
Synthesis Of Pyrophosphates In Cytosol R-HSA-1855167,Reactome,1592
Synthesis Of Substrates In N-glycan Biosythesis R-HSA-446219,Reactome,1593
Synthesis Of Very Long-Chain Fatty acyl-CoAs R-HSA-75876,Reactome,1594
Synthesis Of Wybutosine At G37 Of tRNA(Phe) R-HSA-6782861,Reactome,1595
"Synthesis, Secretion, And Deacylation Of Ghrelin R-HSA-422085",Reactome,1596
"Synthesis, Secretion, And Inactivation Of Glucagon-like Peptide-1 (GLP-1) R-HSA-381771",Reactome,1597
"Synthesis, Secretion, And Inactivation Of Glucose-dependent Insulinotropic Polypeptide (GIP) R-HSA-400511",Reactome,1598
